environment,trait,trait_label,n_observations,n_genotypes,min_replication,max_replication,effective_replication,genetic_variance,block_variance,residual_variance,plot_level_H2,entry_mean_H2,converged,log_likelihood
LN2023,dtf,Days to flowering,654,218,3,3,3,466.032436671794,0.120795107033645,27.81498470948,0.943676966801442,0.980493200870501,TRUE,-1843.37157836647
LN2023,panicle_length_cm,Panicle length (cm),438,146,3,3,3,6.41663909323444,0.0110494410329064,3.01064005668398,0.680645920333224,0.86475450676328,TRUE,-607.838668461013
LN2023,pedicel_length_cm,Pedicel length (cm),438,146,3,3,3,7.14466192960766,0.0889685088962376,3.67833742717681,0.660136963339001,0.85352460640387,TRUE,-646.904915064185
LN2023,plants_m2,Plant density (plants m−2),672,224,3,3,3,286.546311103071,11.6890081137455,270.572896641403,0.514335724060149,0.760599836710941,TRUE,-2379.50740924334
LN2023,height_cm,Plant height (cm),672,224,3,3,3,160.614608662241,1.00957585949162,52.5112574738413,0.753613869466635,0.901729656741037,TRUE,-1928.03251191124
LN2023,fat_pct,Seed fat concentration (%),339,113,3,3,3,0.249165315121537,5.13145037767491e-05,0.0998156484445437,0.713979675496989,0.882197235144848,TRUE,97.7096161091862
LN2023,protein_pct,Seed protein concentration (%),369,123,3,3,3,3.10981769454572,0.016225013773397,1.79849942424559,0.633581249801465,0.838380023371633,TRUE,-406.874162116686
LN2023,thousand_seed_weight_g,Thousand-seed weight (g),448,150,2,3,2.98013245033112,0.140099537219842,0.000590713530558851,0.113836954301082,0.551710927329631,0.785759861372485,TRUE,143.671768539679
LN2024,dtf,Days to flowering,427,145,1,3,2.9,192.559852130001,0.174005333783814,16.7592262243921,0.919934549893166,0.970862782579541,TRUE,-1072.62323544249
LN2024,days_to_harvest,Days to harvest,414,145,1,3,2.76190476190476,262.86755869335,0.151568135041042,51.5908163211046,0.83593753443923,0.933654295681347,TRUE,-1220.89797253849
LN2024,fluorescence,Fluorescence,441,150,1,3,2.89389067524115,0.00619768224408365,0.000183863937521749,0.00888482423550375,0.410918586540743,0.668726881749003,TRUE,731.78915133162
LN2024,normalized_difference_vegetation_index,Normalized Difference Vegetation Index,442,150,1,3,2.90322580645161,0.00336465971921143,5.00835898984447e-05,0.00399816971740714,0.456979174674006,0.709573306579898,TRUE,900.279159823409
LN2024,number_of_tillers,Number of tillers,443,150,1,3,2.9126213592233,17.904916839709,0.000828803668466987,2.00706138012109,0.899203315815087,0.962940153782585,TRUE,-624.209398660214
LN2024,plants_m2,Plant density (plants m−2),442,150,1,3,2.90322580645161,532.434934186231,0.0134365969484485,89.6092517194369,0.855943912426462,0.945206124400572,TRUE,-1431.85971878274
LN2024,height_cm,Plant height (cm),442,150,1,3,2.90322580645161,164.417105417829,0.0495352772827349,47.3330440316552,0.776467482291213,0.90978563495642,TRUE,-1254.09412263957
LN2024,protein_pct,Seed protein concentration (%),195,102,1,3,1.632,4.16045065479803,2.85493214824001e-07,2.42591170456521,0.631676550392568,0.736765083256328,TRUE,-256.85830027657
HN2024,dtf,Days to flowering,429,145,1,3,2.91946308724832,194.353527069405,2.75369781649951e-07,32.8655230327141,0.855357537064153,0.945249082942729,TRUE,-1174.16948544717
HN2024,days_to_harvest,Days to harvest,419,145,1,3,2.82467532467532,265.703079404397,2.278016178436,46.8783215306781,0.850028436143534,0.941211273821389,TRUE,-1223.19086587759
HN2024,fluorescence,Fluorescence,442,150,1,3,2.90322580645161,0.004611689942657,0.000302720027446252,0.0112898901803728,0.290014571317854,0.54252431939811,TRUE,704.783041677677
HN2024,normalized_difference_vegetation_index,Normalized Difference Vegetation Index,442,150,1,3,2.90322580645161,0.00296940720908837,5.75292235233548e-05,0.00438602240280271,0.403702756435587,0.662792175049399,TRUE,890.985307915163
HN2024,number_of_tillers,Number of tillers,442,150,1,3,2.90322580645161,28.5198357941189,0.0227512252391436,1.88644524075569,0.937958698777005,0.977724229009157,TRUE,-648.614049781243
HN2024,plants_m2,Plant density (plants m−2),252,139,1,3,1.52468007312614,500.636110105112,0.401493596775147,157.380830067815,0.760825564724132,0.829062219523675,TRUE,-891.003426618829
HN2024,height_cm,Plant height (cm),442,150,1,3,2.90322580645161,170.383589446664,0.568023360667078,55.1418822203564,0.75549598981985,0.899706275990674,TRUE,-1280.64835336978
HN2024,protein_pct,Seed protein concentration (%),324,121,1,3,2.44444444444444,4.52371080298148,4.47041839641862e-07,4.18051233454258,0.519714480144665,0.72566066243898,TRUE,-475.970522166917
