genotype,dtf,height_cm,plants_m2,number_of_tillers,days_to_harvest,normalized_difference_vegetation_index,fluorescence,protein_pct
Fm134,110.33333333322236,47.999999999980034,7.1584837675165804,24.50000000003309,173.99999999999062,0.6499999999995486,0.4516666666666045,
Fm170,136.83333333333235,108.99999999999932,22.09359895838427,2.3333333333333934,178.66666666666575,0.5749999999999916,0.586666666666663,
Fm173,129.16666666666558,104.8333333333326,45.158483767509104,9.166666666666725,186.3990794597625,0.6966666666666586,0.6666666666666631,
Fm174,139.16666666666555,91.83333333333256,24.09359895838427,6.666666666666723,180.71717875978558,0.7349999999999918,0.6749999999999963,
Fm176,127.99999999999886,94.66666666666589,19.15848376750911,4.000000000000053,186.99999999999892,0.501666666666658,0.3983333333333292,
Fm181,80.99999999999886,95.99999999999922,74.49181710084244,3.6666666666667176,127.16666666666558,0.6299999999999917,0.6683333333333297,14.619999918334113
Fm185,120.83333333333226,106.16666666666589,59.48677074063651,0.8333333333333806,183.33333333333238,0.423333333333325,0.4133333333333294,
Fm190,97.49999999999892,109.66666666666588,54.491817100842454,1.1666666666667114,148.99999999999903,0.6583333333333253,0.7116666666666629,14.749166584997669
Fm193,96.83333333333229,95.4999999999992,77.01026562505092,1.1666666666667083,147.3333333333324,0.5983333333333254,0.6266666666666629,15.478333333333367
Fm194,98.16666666666565,85.99999999999919,18.420758116245473,1.666666666666706,155.9999999999991,0.599999999999992,0.6233333333333296,14.753333251664337
Fm195,106.33333333333233,129.99999999999918,59.15848376750911,3.6827313804998775e-14,157.1666666666658,0.644999999999992,0.7083333333333297,18.204999918331005
Fm203,85.66666666666566,102.66666666666583,34.09359895838426,5.000000000000034,131.66666666666583,0.644999999999992,0.6816666666666629,12.862499918331007
Fm208,129.66666666666572,100.66666666666583,12.666666666666766,0.5000000000000326,182.33333333333252,0.6166666666666587,0.6083333333333295,
Fm214,91.33333333333235,103.83333333333249,60.42693229171758,3.000000000000033,135.9999999999992,0.644999999999992,0.7616666666666632,13.675000000000033
Fm215,75.66666666666569,125.1666666666658,84.82515043417581,1.5000000000000315,122.9999999999992,0.5966666666666587,0.7683333333333295,14.27666658499767
Fm216,105.01535554392211,92.98603772183941,4.333333333333439,0.7818684256019085,161.23230914709256,0.6207514231741673,0.7119233518137105,
Fm219,72.99999999999903,106.83333333333249,90.66666666666669,4.00000000000003,121.64223549740191,0.5899999999999919,0.7533333333333296,12.1966665561275
Fm221,106.16666666666572,102.1666666666658,29.333333333333435,1.3333333333333637,153.8333333333326,0.6133333333333253,0.6549999999999964,13.826666666666698
Fm225,82.3333333333324,102.1666666666658,88.42693229171758,3.6666666666666954,129.4999999999993,0.5949999999999921,0.6249999999999962,13.425833251664335
Fm227,107.99999999999909,97.99999999999913,8.33333333333345,2.333333333333363,173.49999999999935,0.5283333333333253,0.5933333333333297,
Fm233,115.66666666666575,100.49999999999915,37.000000000000085,0.16666666666669436,184.99999999999932,0.5733333333333253,0.5366666666666629,17.533333222794163
Fm235,127.66666666666575,103.6666666666658,24.4269322917176,1.3333333333333603,181.4999999999993,0.5966666666666587,0.4849999999999961,
Fm236,94.99999999999906,121.49999999999912,58.26026562505092,0.6666666666666936,146.49999999999926,0.5983333333333254,0.6733333333333296,15.905707535742035
Fm238,119.8333333333324,110.83333333333246,33.49181710084243,3.6666666666666936,184.3838454264526,0.44333333333332525,0.5549999999999962,
Fm249,133.16666666666572,116.99999999999912,49.15848376750911,0.16666666666669328,184.8990794597628,0.6316666666666588,0.6599999999999961,
Fm250,130.9999999999991,126.16666666666576,,0.33333333333335846,184.99999999999926,0.6166666666666589,0.656666666666663,
Fm3,140.8333333333324,109.99999999999912,61.593598958384234,2.5000000000000258,180.83333333333258,0.6816666666666589,0.6799999999999963,
Fm321,90.49999999999903,93.33333333333243,25.325150434175775,3.5000000000000258,138.33333333333255,0.6949999999999921,0.7483333333333295,15.6816666666667
Fm322,125.16666666666572,102.83333333333246,25.158483767509097,0.33333333333335824,181.49999999999923,0.6849999999999921,0.6483333333333295,
Fm337,102.83333333333238,93.99999999999912,9.666666666666767,0.33333333333335674,160.1666666666659,0.574999999999992,0.5983333333333294,17.240000000000034
Fm341,106.99999999999903,102.16666666666578,62.093598958384234,3.000000000000024,160.9999999999992,0.6866666666666588,0.6566666666666628,14.096666584997669
Fm343,121.66666666666572,127.33333333333243,56.49181710084244,1.3333333333333581,184.49999999999923,0.6383333333333254,0.6516666666666628,
Fm344,120.33333333333238,88.16666666666578,12.666666666666764,1.000000000000024,182.83333333333258,0.44833333333332537,0.3483333333333293,
