year,trait,scope,estimable,genotype,blue,standard_error,status
2023,dtf,year,TRUE,Fm349,119.66666666666826,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm351,117.0000000000016,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm352,108.33333333333493,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm354,108.66666666666828,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm355,110.00000000000162,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm356,115.66666666666826,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm357,107.33333333333495,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm358,130.66666666666828,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm359,120.66666666666828,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm36,134.6666666666683,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm361,109.66666666666829,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm362,110.66666666666829,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm363,111.0000000000016,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm364,118.66666666666828,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm365,106.66666666666828,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm366,102.0000000000016,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm368,111.00000000000159,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm369,99.00000000000158,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm370,114.66666666666825,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm372,111.00000000000159,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm375,111.33333333333492,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm376,101.3333333333349,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm377,110.33333333333493,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm378,104.00000000000159,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm379,112.33333333333493,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm380,107.33333333333493,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm381,105.3333333333349,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm382,106.00000000000158,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm383,111.33333333333493,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm384,115.66666666666826,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm387,134.66666666666828,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm388,106.66666666666826,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm389,113.0000000000016,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm390,98.66666666666825,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm391,106.66666666666825,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm392,91.00000000000156,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm394,99.00000000000156,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm395,111.66666666666825,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm396,112.00000000000159,3.0515449535707195,Estimable
