dataset,trait,model,n,status,started,updated,detail
2024_N40,dtf,FarmCPU,80,completed,2026-09-08 18:38:24.838714,2026-09-08 18:45:07.741309,""
2024_N40,dtf,BLINK,80,started,2026-09-08 18:45:09.255199,2026-09-08 18:45:09.255721,""
2024_N40,dtf,BLINK,80,completed,2026-09-08 18:45:09.255199,2026-09-08 19:05:41.580246,""
2024_N40,height_cm,MLM,81,started,2026-09-08 19:05:43.184985,2026-09-08 19:05:43.185711,""
2024_N40,height_cm,MLM,81,completed,2026-09-08 19:05:43.184985,2026-09-08 19:08:26.181552,""
2024_N40,height_cm,FarmCPU,81,started,2026-09-08 19:08:27.825508,2026-09-08 19:08:27.825879,""
2024_N40,height_cm,FarmCPU,81,completed,2026-09-08 19:08:27.825508,2026-09-08 19:13:09.589021,""
2024_N40,height_cm,BLINK,81,started,2026-09-08 19:13:10.90846,2026-09-08 19:13:10.908774,""
2024_N40,height_cm,BLINK,81,completed,2026-09-08 19:13:10.90846,2026-09-08 19:16:02.34127,""
2024_N40,plants_m2,MLM,81,started,2026-09-08 19:16:04.220591,2026-09-08 19:16:04.221162,""
2024_N40,plants_m2,MLM,81,completed,2026-09-08 19:16:04.220591,2026-09-08 19:18:46.113317,""
2024_N40,plants_m2,FarmCPU,81,started,2026-09-08 19:18:47.251902,2026-09-08 19:18:47.252159,""
2024_N40,plants_m2,FarmCPU,81,completed,2026-09-08 19:18:47.251902,2026-09-08 19:20:28.807557,""
2024_N40,plants_m2,BLINK,81,started,2026-09-08 19:20:30.271698,2026-09-08 19:20:30.271972,""
2024_N40,plants_m2,BLINK,81,completed,2026-09-08 19:20:30.271698,2026-09-08 19:22:11.42585,""
2024_N40,number_of_tillers,MLM,81,started,2026-09-08 19:22:12.915018,2026-09-08 19:22:12.915786,""
2024_N40,number_of_tillers,MLM,81,completed,2026-09-08 19:22:12.915018,2026-09-08 19:25:08.83496,""
2024_N40,number_of_tillers,FarmCPU,81,started,2026-09-08 19:25:10.117912,2026-09-08 19:25:10.118417,""
2024_N40,number_of_tillers,FarmCPU,81,completed,2026-09-08 19:25:10.117912,2026-09-08 19:30:59.180258,""
2024_N40,number_of_tillers,BLINK,81,started,2026-09-08 19:31:00.219771,2026-09-08 19:31:00.220301,""
2024_N40,number_of_tillers,BLINK,81,completed,2026-09-08 19:31:00.219771,2026-09-08 19:34:16.520737,""
2024_N40,days_to_harvest,MLM,80,started,2026-09-08 19:34:18.316434,2026-09-08 19:34:18.316727,""
2024_N40,days_to_harvest,MLM,80,completed,2026-09-08 19:34:18.316434,2026-09-08 19:36:59.074901,""
2024_N40,days_to_harvest,FarmCPU,80,started,2026-09-08 19:36:59.533017,2026-09-08 19:36:59.53329,""
2024_N40,days_to_harvest,FarmCPU,80,completed,2026-09-08 19:36:59.533017,2026-09-08 19:42:05.195642,""
