sample	called	missing	missing_rate	status
Fm400	751297	156589	0.172477	removed
Fm401	728401	179485	0.197696	removed
Fm402	781010	126876	0.139749	removed
Fm403	862776	45110	0.0496869	kept
Fm404	891139	16747	0.0184461	kept
Fm405	879880	28006	0.0308475	kept
Fm406	886202	21684	0.0238841	kept
Fm407	840086	67800	0.074679	kept
Fm408	850399	57487	0.0633196	kept
Fm409	866344	41542	0.0457568	kept
Fm410	860246	47640	0.0524735	kept
Fm412	810443	97443	0.10733	removed
Fm413	849349	58537	0.0644762	kept
Fm414	899846	8040	0.00885574	kept
Fm415	861172	46714	0.0514536	kept
Fm416	895813	12073	0.0132979	kept
Fm418	898929	8957	0.00986578	kept
Fm420	870748	37138	0.040906	kept
Fm422	863409	44477	0.0489896	kept
Fm428	879397	28489	0.0313795	kept
Fm429	804226	103660	0.114177	removed
Fm442	711857	196029	0.215918	removed
Fm443	897562	10324	0.0113715	kept
Fm444	899914	7972	0.00878084	kept
Fm452	884857	23029	0.0253655	kept
Fm463	872655	35231	0.0388055	kept
Fm468	860043	47843	0.0526971	kept
Fm474	818412	89474	0.098552	kept
Fm475	811660	96226	0.105989	removed
Fm476	889225	18661	0.0205543	kept
Fm478	795265	112621	0.124048	removed
Fm482	886664	21222	0.0233752	kept
Fm484	655730	252156	0.27774	removed
Fm489	778986	128900	0.141978	removed
Fm491	872235	35651	0.0392681	kept
Fm496	633344	274542	0.302397	removed
Fm522	886557	21329	0.023493	kept
Fm523	852910	54976	0.0605539	kept
Fm524	897894	9992	0.0110058	kept
Fm537	898927	8959	0.00986798	kept
Fm555	871444	36442	0.0401394	kept
Fm558	894146	13740	0.0151341	kept
Fm560	882674	25212	0.02777	kept
Fm561	767861	140025	0.154232	removed
Fm566	882901	24985	0.02752	kept
Fm571	780712	127174	0.140077	removed
Fm573	743717	164169	0.180826	removed
Fm575	826778	81108	0.0893372	kept
Fm581	880265	27621	0.0304234	kept
Fm583	882942	24944	0.0274748	kept
Fm585	886674	21212	0.0233642	kept
Fm589	872004	35882	0.0395226	kept
Fm590	704165	203721	0.224391	removed
Fm592	798858	109028	0.12009	removed
Fm595	841598	66288	0.0730136	kept
Fm597	798097	109789	0.120928	removed
Fm599	789973	117913	0.129876	removed
Fm600	802144	105742	0.116471	removed
Fm601	874174	33712	0.0371324	kept
Fm602	880770	27116	0.0298672	kept
Fm603	780205	127681	0.140635	removed
Fm604	844144	63742	0.0702093	kept
Fm606	747367	160519	0.176805	removed
Fm609	858252	49634	0.0546699	kept
