# CMD line shows the command line used to generate this output
# DEF lines define expressions for all tested thresholds
# FLT* lines report numbers for every threshold and every sample:
#   1) filter id
#   2) sample
#   3) number of genotypes which pass the filter
#   4) number of non-reference genotypes
#   5) number of homozygous ref genotypes (0/0 or 0)
#   6) number of homozygous alt genotypes (1/1, 2/2, etc)
#   7) number of heterozygous genotypes (0/1, 1/2, etc)
#   8) number of hemizygous genotypes (0, 1, etc)
#   9) number of SNVs
#   10) number of indels
#   11) number of singletons
#   12) number of missing genotypes (./., ., ./0, etc)
#   13) number of transitions (alt het genotypes such as "1/2" are counted twice)
#   14) number of transversions (alt het genotypes such as "1/2" are counted twice)
#   15) overall ts/tv
# SITE* lines report numbers for every threshold:
#   1) filter id
#   2) number of sites which pass the filter
#   3) number of SNVs
#   4) number of indels
#   5) number of singletons
#   6) number of transitions (counted at most once at multiallelic sites)
#   7) number of transversions (counted at most once at multiallelic sites)
#   8) overall ts/tv
CMD	smpl-stats -o data/processed/genotypes/sample_stats_before_qc.tsv data/processed/genotypes/Fox_geno.corrected.vcf.gz
DEF	FLT0	all
FLT0	Fm104	899479	258287	641192	68946	189341	0	258287	0	0	8407	205338	52949	3.88
FLT0	Fm106	824844	210715	614129	59339	151376	0	210715	0	0	83042	167538	43177	3.88
FLT0	Fm112	900407	256193	644214	66480	189713	0	256193	0	0	7479	203705	52488	3.88
FLT0	Fm113	901947	260168	641779	64176	195992	0	260168	0	0	5939	206695	53473	3.87
FLT0	Fm119	810957	218684	592273	57917	160767	0	218684	0	0	96929	173573	45111	3.85
FLT0	Fm120	881316	249618	631698	61444	188174	0	249618	0	0	26570	198419	51199	3.88
FLT0	Fm129	902577	262380	640197	65006	197374	0	262380	0	0	5309	208238	54142	3.85
FLT0	Fm132	791681	222991	568690	48285	174706	0	222991	0	0	116205	177077	45914	3.86
FLT0	Fm134	107024	35678	71346	30770	4908	0	35678	0	0	800862	25396	10282	2.47
FLT0	Fm135	872047	237825	634222	68515	169310	0	237825	0	0	35839	189051	48774	3.88
FLT0	Fm136	869041	242925	626116	68023	174902	0	242925	0	0	38845	192986	49939	3.86
